Median frame time was: 41.14046ms 24.306973fps
Average frame time was: 41.338173ms 24.190716fps
Best frame time was: 40.697525ms 24.571518fps
Worst frame time was: 56.462997ms 17.710714fps

listing frames
40.953285ms 24.418064fps
40.923042ms 24.43611fps
41.919888ms 23.855026fps
41.032486ms 24.370934fps
41.27686ms 24.226648fps
41.146187ms 24.303589fps
41.332245ms 24.194185fps
41.05805ms 24.35576fps
41.11427ms 24.322454fps
41.56796ms 24.056992fps
41.21156ms 24.265036fps
41.578575ms 24.050848fps
41.292294ms 24.217594fps
41.214493ms 24.26331fps
41.11958ms 24.319315fps
41.25416ms 24.239979fps
41.19263ms 24.276186fps
41.08326ms 24.340813fps
41.35983ms 24.17805fps
41.188232ms 24.27878fps
41.31136ms 24.206417fps
41.06748ms 24.350168fps
41.144928ms 24.30433fps
40.884422ms 24.459192fps
41.115734ms 24.321589fps
41.521095ms 24.084143fps
41.231464ms 24.253323fps
41.10219ms 24.329603fps
41.10093ms 24.330349fps
41.246826ms 24.24429fps
41.226437ms 24.25628fps
41.76023ms 23.946226fps
41.216934ms 24.261871fps
41.236282ms 24.25049fps
40.92353ms 24.435818fps
40.77512ms 24.52476fps
40.927586ms 24.4334fps
41.845787ms 23.897268fps
41.16316ms 24.29357fps
40.91264ms 24.442324fps
41.077255ms 24.344372fps
41.335598ms 24.192223fps
40.909637ms 24.444118fps
40.989464ms 24.396515fps
41.040237ms 24.366331fps
40.928215ms 24.433023fps
41.009506ms 24.384588fps
40.85502ms 24.476795fps
40.830853ms 24.491283fps
41.359062ms 24.178497fps
42.106293ms 23.749418fps
40.90719ms 24.445581fps
41.02292ms 24.376617fps
41.580112ms 24.04996fps
40.928703ms 24.432732fps
40.963203ms 24.412153fps
41.175243ms 24.286438fps
41.63724ms 24.01696fps
41.72615ms 23.965786fps
41.33085ms 24.195004fps
41.28517ms 24.221771fps
41.69989ms 23.980879fps
41.179714ms 24.283802fps
41.510685ms 24.090181fps
41.335808ms 24.1921fps
41.310314ms 24.20703fps
41.64248ms 24.013939fps
41.56202ms 24.060429fps
41.11057ms 24.324646fps
41.76589ms 23.942986fps
41.375755ms 24.168743fps
41.58926ms 24.04467fps
41.30815ms 24.208298fps
44.065758ms 22.693357fps
41.74591ms 23.954441fps
40.940712ms 24.425564fps
41.739277ms 23.958248fps
41.61266ms 24.031149fps
41.243546ms 24.246218fps
41.884968ms 23.874914fps
41.159317ms 24.295835fps
41.08731ms 24.338415fps
41.17154ms 24.288624fps
40.950985ms 24.419437fps
41.284126ms 24.222385fps
41.21065ms 24.265572fps
41.380226ms 24.166132fps
41.25402ms 24.24006fps
41.496998ms 24.098127fps
41.024036ms 24.375954fps
41.186348ms 24.27989fps
41.74389ms 23.955603fps
41.20534ms 24.268698fps
41.036884ms 24.36832fps
41.035767ms 24.368984fps
40.800682ms 24.509394fps
41.349148ms 24.184296fps
41.48394ms 24.105715fps
42.431545ms 23.567371fps
42.118168ms 23.742722fps
41.15003ms 24.30132fps
41.15296ms 24.299587fps
41.072643ms 24.347105fps
41.21547ms 24.262735fps
41.107216ms 24.32663fps
41.808773ms 23.918425fps
41.089474ms 24.337133fps
41.17573ms 24.28615fps
41.050926ms 24.359987fps
41.04471ms 24.363676fps
41.24215ms 24.24704fps
41.156803ms 24.29732fps
41.20674ms 24.267874fps
41.688435ms 23.987469fps
40.96376ms 24.411821fps
42.686256ms 23.426743fps
41.791313ms 23.92842fps
42.412342ms 23.578043fps
49.1465ms 20.347328fps
41.066776ms 24.350584fps
41.428276ms 24.138103fps
40.879604ms 24.462076fps
40.91201ms 24.442701fps
40.96146ms 24.413193fps
40.957336ms 24.415651fps
40.913895ms 24.441574fps
40.78043ms 24.521566fps
40.848244ms 24.480856fps
41.68676ms 23.988432fps
40.91166ms 24.44291fps
41.08717ms 24.3385fps
41.020756ms 24.377903fps
41.30815ms 24.208298fps
40.933453ms 24.429895fps
41.05749ms 24.356092fps
41.063217ms 24.352695fps
41.48373ms 24.105837fps
40.944973ms 24.423021fps
40.945118ms 24.422937fps
40.98122ms 24.40142fps
41.239777ms 24.248434fps
41.552246ms 24.066088fps
41.14046ms 24.306973fps
41.288456ms 24.219847fps
41.31744ms 24.202854fps
41.609722ms 24.032845fps
41.364372ms 24.175394fps
44.12142ms 22.664728fps
41.418358ms 24.143883fps
40.903347ms 24.447876fps
41.05763ms 24.35601fps
40.830574ms 24.491451fps
40.868637ms 24.468641fps
40.88016ms 24.461742fps
40.772537ms 24.526312fps
41.128727ms 24.313906fps
41.75981ms 23.946468fps
40.949863ms 24.420107fps
41.09744ms 24.332417fps
40.768208ms 24.52892fps
40.931843ms 24.430857fps
41.20122ms 24.271124fps
40.998474ms 24.391151fps
40.955452ms 24.416775fps
40.92975ms 24.432106fps
41.39713ms 24.156265fps
41.13348ms 24.311098fps
40.80976ms 24.50394fps
41.24459ms 24.245604fps
40.953987ms 24.417648fps
41.17161ms 24.288582fps
40.918854ms 24.438612fps
41.176777ms 24.285534fps
40.862003ms 24.472614fps
41.2726ms 24.22915fps
40.88135ms 24.461031fps
40.997494ms 24.391735fps
41.13641ms 24.309364fps
41.125584ms 24.315763fps
41.002243ms 24.388908fps
41.182995ms 24.281866fps
40.82443ms 24.495138fps
41.25451ms 24.239775fps
40.910263ms 24.443745fps
41.24788ms 24.243671fps
41.190746ms 24.277296fps
41.272182ms 24.229395fps
41.222664ms 24.2585fps
41.35257ms 24.182293fps
41.03821ms 24.367535fps
41.06622ms 24.350916fps
41.012165ms 24.383009fps
40.948467ms 24.42094fps
41.121464ms 24.318201fps
41.8886ms 23.872845fps
40.70954ms 24.564266fps
41.206947ms 24.267752fps
41.0137ms 24.382097fps
41.297466ms 24.214561fps
41.72922ms 23.964022fps
41.146885ms 24.303177fps
41.286427ms 24.221035fps
44.213333ms 22.617613fps
41.18914ms 24.278244fps
41.481846ms 24.106932fps
41.355293ms 24.180702fps
41.271763ms 24.229643fps
40.875484ms 24.464542fps
41.420803ms 24.142458fps
41.143394ms 24.305239fps
41.24732ms 24.244fps
41.086754ms 24.338745fps
41.006786ms 24.386208fps
41.673904ms 23.99583fps
41.10924ms 24.32543fps
41.41745ms 24.144413fps
41.200733ms 24.271412fps
40.935688ms 24.428562fps
41.04792ms 24.36177fps
41.627743ms 24.022442fps
41.230625ms 24.253815fps
40.96013ms 24.413986fps
